OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 154,2018-061F,2026-01-26T07:44:17.767104,14.34209882,.00038442,86.3977,116.1391,120.7087,239.4488,0,U,43574,999,39307,.14384384E-3,.423E-5,0
IRIDIUM 163,2018-061G,2026-01-26T03:55:57.948960,14.34216241,.00022043,86.3982,116.1269,98.8267,261.3179,0,U,43575,999,39302,.88940652E-4,.269E-5,0
IRIDIUM 156,2018-061H,2026-01-26T11:41:46.078368,14.34216729,.00022113,86.3981,115.9990,90.1600,269.9849,0,U,43576,999,39306,.7094196E-4,.218E-5,0
IRIDIUM 164,2018-061J,2026-01-26T07:53:25.956960,14.34217070,.0001901,86.3984,116.1031,98.0616,262.0796,0,U,43577,999,39308,.31179E-4,.107E-5,0
IRIDIUM 159,2018-061K,2026-01-26T15:30:05.665824,14.34216304,.00021343,86.3980,115.9104,100.0147,260.1289,0,U,43578,999,39309,.10414756E-3,.311E-5,0
BEIDOU-3 M5,2018-062A,2026-01-25T19:31:49.237248,1.86228445,.00016055,54.0906,187.1438,349.2236,10.7521,0,U,43581,999,5098,0,.107E-5,0
BEIDOU-3 M6,2018-062B,2026-01-22T10:55:02.026848,1.86229643,.00074578,54.0905,187.2468,49.5070,310.5292,0,U,43582,999,5092,0,.93E-6,0
GAOFEN-11 01,2018-063A,2026-01-26T14:58:07.032864,15.50758925,.0006049,97.1493,94.2086,127.7521,232.4281,0,U,43585,999,41837,.29392845E-3,.1685E-3,0
TELKOM 4 (MERAH PUTIH),2018-064A,2026-01-26T15:37:20.848800,1.00270133,.00014068,0.0240,88.6647,242.2904,137.3009,0,U,43587,999,2746,0,-.332E-5,0
BEIDOU-3 M12,2018-067A,2026-01-25T01:52:14.109312,1.86227776,.0009129,54.1847,185.8924,42.6041,317.4434,0,U,43602,999,5045,0,.106E-5,0
BEIDOU-3 M11,2018-067B,2026-01-21T10:53:31.416576,1.86227325,.0005454,54.1821,185.9793,38.3929,321.6147,0,U,43603,999,5041,0,.84E-6,0
HAIYANG-1C,2018-068A,2026-01-26T14:48:27.159264,14.34127342,.00114656,98.5360,100.8837,149.5278,210.6575,0,U,43609,999,38679,.16298947E-3,.413E-5,0
TELSTAR 18V,2018-069A,2026-01-26T04:04:48.294624,1.00269902,.00023387,0.0236,290.0831,13.4523,21.1019,0,U,43611,999,2720,0,-.281E-5,0
ICESAT-2,2018-070A,2026-01-26T14:08:48.183648,15.28268434,.00020515,92.0015,252.8340,30.6826,329.4543,0,U,43613,999,41083,.15726189E-3,.433E-4,0
SSTL S1-4,2018-071A,2026-01-26T15:25:15.702240,14.96259736,.00002915,97.5235,263.9444,95.6114,264.5141,0,U,43618,999,40177,.10412534E-3,.1121E-4,0
