OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 173,2019-002D,2025-12-17T13:54:06.450912,14.34219805,.00020562,86.3964,69.4867,101.9878,258.1548,0,U,43925,999,36292,.83721916E-4,.254E-5,0
IRIDIUM 169,2019-002E,2025-12-17T13:44:30.676992,14.38608779,.0002247,86.4225,101.1412,125.4260,234.7148,0,U,43926,999,36411,.10195551E-3,.332E-5,0
IRIDIUM 172,2019-002F,2025-12-17T15:25:26.469408,14.34215080,.00019487,86.3964,69.4675,93.3192,266.8227,0,U,43927,999,36294,.64339658E-4,.2E-5,0
IRIDIUM 175,2019-002G,2025-12-17T13:04:10.593984,14.72244120,.00032208,86.1499,11.6362,87.4589,272.6997,0,U,43928,999,37251,.12219548E-3,.796E-5,0
IRIDIUM 171,2019-002H,2025-12-17T14:58:03.289152,14.34215244,.00022737,86.3971,69.7618,98.4677,261.6777,0,U,43929,999,36293,-.11255133E-3,-.295E-5,0
IRIDIUM 170,2019-002J,2025-12-17T14:57:45.419040,14.72249072,.00023146,86.6085,69.4732,90.9207,269.2276,0,U,43930,999,37254,.13534609E-3,.878E-5,0
IRIDIUM 167,2019-002K,2025-12-17T14:48:55.126944,14.34217723,.00025215,86.3965,69.4991,103.7259,256.4218,0,U,43931,999,36293,.54079414E-4,.171E-5,0
IRIDIUM 181,2023-068S,2025-12-17T11:07:22.586304,14.43310335,.00023737,86.4515,132.7530,84.0373,276.1099,0,U,56726,999,13622,.10085397E-3,.36E-5,0
IRIDIUM 177,2023-068T,2025-12-17T14:37:39.340704,14.80219627,.00022474,86.1965,55.0173,85.3638,274.7839,0,U,56727,999,13950,.14167521E-3,.1103E-4,0
IRIDIUM 174,2023-068U,2025-12-17T14:39:56.176704,14.72242254,.00020413,86.6091,69.6071,89.7244,270.4207,0,U,56728,999,13930,.85621229E-4,.564E-5,0
IRIDIUM 178,2023-068V,2025-12-17T14:21:52.895232,14.80248888,.0002512,86.6542,101.2692,96.2445,263.9063,0,U,56729,999,13950,.16548638E-3,.1284E-4,0
IRIDIUM 179,2023-068W,2025-12-17T09:22:09.645024,14.80236317,.00024001,86.6782,109.7932,88.9991,271.1506,0,U,56730,999,13947,.1623843E-3,.126E-4,0
